日期,科目,对方科目,凭证号,产品名称,规格,颜色,存放位置,类别,备注,入库重量,单位,系数,入库数量,价格,金额,出库重量,单位,系数,出库数量,价格,金额,结存数量,金额,,,,,,
,,,,,,,,,,,,,17525254 ,,0.0 ,1188009 ,,,821368 ,,0.0 ,16703885 ,0.0 ,1900/1,,,,,
23/8/27,盘点入库,,,9,,滚白,10-4-3,压铸成品,,66700,克,2.88,23160 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,科目,对方科目,单位,颜色
23/8/27,盘点入库,,,99,,挂抢+棕,10-3-1,压铸成品,,5700,克,5.05,1129 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,生产入库,压铸车间,斤,白底白字
23/8/27,盘点入库,,,4,,滚枪,10-3-1,压铸成品,,1180,克,3.66,322 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,退货入库,订单退货,个,白底黑字
23/8/27,盘点入库,,,4,,滚古铜,10-3-1,压铸成品,,220,克,3.66,60 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,报废入库,盘盈盘亏,双,白底上红下深兰
23/8/27,盘点入库,,,4,,挂抢,10-3-1,压铸成品,,1520,克,3.66,415 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,结转入库,业务员,克,古青
23/8/27,盘点入库,,,153,,滚古铜,10-3-1,压铸成品,,7100,克,6.24,1138 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,领料出库,电商,,古银
23/8/27,盘点入库,,,153,带尾片,滚古铜,10-3-1,压铸成品,,2800,克,8.06,347 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,报废出库,,,挂白
23/8/27,盘点入库,,,189,,挂抢,1-3-1,压铸成品,,800,克,3.51,228 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,回炉出库,,,挂白拉丝
23/8/27,盘点入库,,,20,,挂真金,1-3-1,压铸成品,,160,克,0.81,198 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,盘亏出库,,,挂柴金
23/8/27,盘点入库,,,155,,挂黄金,1-3-1,压铸成品,,160,克,1.09,147 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,盘盈入库,,,挂仿金
23/8/27,盘点入库,,,155,,挂广东金,1-3-1,压铸成品,,150,克,1.09,138 ,,0.0 ,,,,0 ,,0.0 ,,,2023/8,,盘点入库,,,挂仿真金
