rank,name,mark,author,publisher,year,price
1,红楼梦,9.6,曹雪芹,人民文学出版社,1996,59.70
2,活着,9.4,余华,作家出版社,2012,20.00
3,百年孤独,9.3,加西亚·马尔克斯,南海出版公司,2011,39.50
4,1984,9.4,乔治·奥威尔,北京十月文艺出版社,2010,28.00
5,飘,9.3,玛格丽特·米切尔,译林出版社,2000,40.00
6,三体全集,9.4,刘慈欣,重庆出版社,2012,168.00
7,三国演义（全二册）,9.3,罗贯中,人民文学出版社,1998,39.50
8,白夜行,9.1,东野圭吾,南海出版公司,2008,29.80
9,小王子,9.0,安东尼·德·圣-埃克苏佩里,人民文学出版社,2003,22.00
10,福尔摩斯探案全集（上中下）,9.3,阿瑟·柯南·道尔,群众出版社,1981,68.00
11,房思琪的初恋乐园,9.2,林奕含,北京联合出版公司,2018,45.00
12,动物农场,9.3,乔治·奥威尔,上海译文出版社,2007,10.00
13,撒哈拉的故事,9.2,三毛,哈尔滨出版社,2003,15.80
14,天龙八部,9.1,金庸,生活·读书·新知三联书店,1994,96.00
15,安徒生童话故事集,9.2,安徒生,人民文学出版社,1997,25.00
16,平凡的世界（全三部）,9.0,路遥,人民文学出版社,2005,64.00
17,围城,8.9,钱钟书,人民文学出版社,1991,19.00
18,霍乱时期的爱情,9.0,加西亚·马尔克斯,南海出版公司,2012,39.50
19,局外人,9.0,阿尔贝·加缪,上海译文出版社,2010,22.00
20,明朝那些事儿（1-9）,9.1,当年明月,中国海关出版社,2009,358.20
21,沉默的大多数,9.1,王小波,中国青年出版社,1997,27.00
22,追风筝的人,8.9,卡勒德·胡赛尼,上海人民出版社,2006,29.00
23,人类简史,9.1,尤瓦尔·赫拉利,中信出版社,2014,68.00
24,哈利·波特,9.7,J.K.罗琳,人民文学出版社,2008,498.00
25,月亮和六便士,9.0,威廉·萨默塞特·毛姆,上海译文出版社,2006,15.00
26,冰与火之歌（卷一）,9.3,乔治·R·R·马丁,重庆出版社,2005,68.00
27,肖申克的救赎,9.1,斯蒂芬·金,人民文学出版社,2006,29.90
28,笑傲江湖（全四册）,9.0,金庸,生活·读书·新知三联书店,1994,76.80
29,基督山伯爵,9.0,大仲马,上海译文出版社,1991,43.90
30,杀死一只知更鸟,9.2,哈珀·李,译林出版社,2012,32.00
31,呐喊,9.0,鲁迅,人民文学出版社,1973,0.36
32,万历十五年,8.9,黄仁宇,生活·读书·新知三联书店,1997,18.00
33,嫌疑人X的献身,8.9,东野圭吾,南海出版公司,2008,28.00
34,东方快车谋杀案,9.0,阿加莎·克里斯蒂,人民文学出版社,2006,18.00
35,中国历代政治得失,9.2,钱穆,生活·读书·新知三联书店,2001,12.00
36,江城,9.1,彼得·海斯勒,上海译文出版社,2012,36.00
37,新名字的故事,9.1,埃莱娜·费兰特,人民文学出版社,2017,59.00
38,傲慢与偏见,8.9,简·奥斯汀,人民文学出版社,1993,13.00
39,寻路中国,9.0,彼得·海斯勒,上海译文出版社,2011,33.00
40,失踪的孩子,9.2,埃莱娜·费兰特,人民文学出版社,2018,62.00
41,射雕英雄传（全四册）,9.0,金庸,生活·读书·新知三联书店,1999,47.00
42,黄金时代,8.9,王小波,花城出版社,1999,19.00
43,刀锋,9.0,毛姆,上海译文出版社,2007,18.00
44,格林童话全集,9.0,格林兄弟,人民文学出版社,1994,21.45
45,无人生还,8.9,阿加莎·克里斯蒂,人民文学出版社,2008,19.00
46,乡土中国,9.2,费孝通,上海人民出版社,2006,38.00
47,城南旧事,9.0,林海音,中国青年出版社,2003,16.00
48,我与地坛,9.1,史铁生,春风文艺出版社,2002,25.00
49,白鹿原,9.2,陈忠实,人民文学出版社,2012,39.00
50,历史深处的忧虑,9.0,林达,生活·读书·新知三联书店,1997,19.00
51,看见,8.8,柴静,广西师范大学出版社,2013,39.80
52,神雕侠侣,8.9,金庸,生活·读书·新知三联书店,1994,76.80
53,许三观卖血记,8.8,余华,南海出版公司,1998,16.80
54,灿烂千阳,8.8,卡勒德·胡赛尼,上海人民出版社,2007,28.00
55,朝花夕拾,8.9,鲁迅,人民文学出版社,1972,0.25
56,悲惨世界（上中下）,9.0,维克多·雨果,人民文学出版社,1992,66.00
57,野草,9.4,鲁迅,人民文学出版社,1973,0.20
58,哭泣的骆驼,8.9,三毛,哈尔滨出版社,2003,15.80
59,史记（全十册）,9.5,司马迁,中华书局,1982,125.00
60,彷徨,9.1,鲁迅,人民文学出版社,1973,0.37
61,文学回忆录,9.1,木心口述,广西师范大学出版社,2013,98.00
